Provider Number,Facility Name,City,State,Zip Code,Certification Date,Medicare Census,Medicaid Census,Other Census,Total Residents,Program Participation Code,Hospital Based,Ownership Type,Multi-Facility Organization,Multi-Facility Organization Name,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Organized Residents' Group,Organized Family Member Group,Facility Conducts Experimental Research,Continuing Care Retirement Community (CCRC),7 Day RN Waiver Date,7 Day RN Hrs Waived Per Week,24 Hr Licensed Nursing Waiver Date,24 Hr Licensed Nursing Hrs Waived Per Week,Nurse Aide Training and Competency Evaluation Program
345000,Autumn Care Of Biscoe,Biscoe,NC,27209,2025-03-13,15,77,10,102,SNF/NF Distinct Part,No,For Profit - LLC,Yes,Saber Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345001,Hillcrest Convalescent Center,Durham,NC,27705,2025-02-21,62,6,6,74,SNF/NF Distinct Part,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345002,Cypress Pointe Rehabilitation Center,Wilmington,NC,28401,2025-03-20,28,42,7,77,SNF/NF Dual Certification,No,For Profit - Partnership,Yes,Southern Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345003,Silas Creek Rehabilitation Center,Winston Salem,NC,27103,2025-05-02,13,61,8,82,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Southern Healthcare Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345004,PERSON MEMORIAL HOSPITAL,ROXBORO,NC,27573,2024-09-19,3,35,6,44,SNF/NF - Medicare/Medicaid,Yes,For Profit - LLC,Yes,"Lifepoint Health, LLC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345006,Blumenthal Health and Rehabilitation Center,Greensboro,NC,27455,2024-11-01,11,58,61,130,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345010,Bear Mountain Health and Rehabilitation,Asheville,NC,28804,2025-05-09,2,52,11,65,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Ascent Healthcare Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345011,Pine Acres Center for Nursing and Rehabilitation,Lexington,NC,27292,2024-03-28,2,74,25,101,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Alliance Health Group,0,34,0,0,8,3,2,0,0,Yes,No,No,No,,0,,0,No
345013,Peak Resources - Charlotte,Charlotte,NC,28205,2024-03-21,8,97,16,121,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Peak Resources INC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345014,Linden Place Center for Nursing and Rehabilitation,Greensboro,NC,27401,2024-09-12,13,65,12,90,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Alliance Health Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345015,Clapp's Convalescent Nursing Home Inc,Asheboro,NC,27203,2024-10-02,17,56,17,90,SNF/NF - Medicare/Medicaid,No,For Profit - Individual,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345024,Clapps Nursing Center Inc,Pleasant Garden,NC,27313,2024-06-26,11,67,27,105,SNF/NF - Medicare/Medicaid,No,For Profit - Individual,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345026,Royal Park Rehabilitation & Health Center,Matthews,NC,28105,2024-08-08,12,71,61,144,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Liberty Healthcare,3,65,8,0,0,19,0,1,0,Yes,No,No,No,,0,,0,No
345036,Elizabeth City Health and Rehabilitation,Elizabeth City,NC,27909,2024-04-05,39,78,39,156,SNF/NF - Medicare/Medicaid,No,For Profit - Individual,No,,0,17,3,0,0,7,1,0,0,Yes,No,No,No,,0,,0,No
