PROVNUM,PROVNAME,CITY,STATE,COUNTY_NAME,COUNTY_FIPS,CY_Qtr,WorkDate,MDScensus,Hrs_RNDON,Hrs_RNDON_emp,Hrs_RNDON_ctr,Hrs_RNadmin,Hrs_RNadmin_emp,Hrs_RNadmin_ctr,Hrs_RN,Hrs_RN_emp,Hrs_RN_ctr,Hrs_LPNadmin,Hrs_LPNadmin_emp,Hrs_LPNadmin_ctr,Hrs_LPN,Hrs_LPN_emp,Hrs_LPN_ctr,Hrs_CNA,Hrs_CNA_emp,Hrs_CNA_ctr,Hrs_NAtrn,Hrs_NAtrn_emp,Hrs_NAtrn_ctr,Hrs_MedAide,Hrs_MedAide_emp,Hrs_MedAide_ctr
345000,AUTUMN CARE OF BISCOE,Biscoe,NC,Montgomery,123,2025Q4,20251001,98,8,8,0,9,9,0,10.5,10.5,0,18.5,18.5,0,81,81,0,172.5,172.5,0,0,0,0,12.5,12.5,0
345000,AUTUMN CARE OF BISCOE,Biscoe,NC,Montgomery,123,2025Q4,20251002,98,8,8,0,8,8,0,26.25,26.25,0,18,18,0,64.5,64.5,0,190.75,190.75,0,0,0,0,25,25,0
345000,AUTUMN CARE OF BISCOE,Biscoe,NC,Montgomery,123,2025Q4,20251003,99,8,8,0,8.5,8.5,0,29.5,29.5,0,17.75,17.75,0,58,58,0,196.5,196.5,0,0,0,0,4.5,4.5,0
345000,AUTUMN CARE OF BISCOE,Biscoe,NC,Montgomery,123,2025Q4,20251004,98,0,0,0,0,0,0,24.5,24.5,0,0,0,0,72.5,72.5,0,172.5,172.5,0,0,0,0,0,0,0
345000,AUTUMN CARE OF BISCOE,Biscoe,NC,Montgomery,123,2025Q4,20251005,97,0,0,0,0,0,0,20.25,20.25,0,0,0,0,73.75,73.75,0,167.75,167.75,0,0,0,0,0,0,0
345000,AUTUMN CARE OF BISCOE,Biscoe,NC,Montgomery,123,2025Q4,20251006,96,8,8,0,10.5,10.5,0,17.5,17.5,0,22,22,0,67.5,67.5,0,181.5,181.5,0,0,0,0,13.25,13.25,0
345000,AUTUMN CARE OF BISCOE,Biscoe,NC,Montgomery,123,2025Q4,20251007,96,8,8,0,6,6,0,35.25,35.25,0,14.5,14.5,0,67.5,67.5,0,169.5,169.5,0,0,0,0,13.25,13.25,0
345000,AUTUMN CARE OF BISCOE,Biscoe,NC,Montgomery,123,2025Q4,20251008,97,8,8,0,6.25,6.25,0,31.5,31.5,0,21.25,21.25,0,75,75,0,183.5,183.5,0,0,0,0,0,0,0
345000,AUTUMN CARE OF BISCOE,Biscoe,NC,Montgomery,123,2025Q4,20251009,97,8,8,0,16,8,8,14.25,14.25,0,9.25,9.25,0,84.75,84.75,0,186.25,186.25,0,0,0,0,0,0,0
345000,AUTUMN CARE OF BISCOE,Biscoe,NC,Montgomery,123,2025Q4,20251010,97,8,8,0,7.75,7.75,0,15.25,15.25,0,13.75,13.75,0,66.75,66.75,0,180.75,180.75,0,0,0,0,12,12,0
