ENROLLMENT ID,ASSOCIATE ID,ORGANIZATION NAME,ASSOCIATE ID - OWNER,TYPE - OWNER,ROLE CODE - OWNER,ROLE TEXT - OWNER,ASSOCIATION DATE - OWNER,FIRST NAME - OWNER,MIDDLE NAME - OWNER,LAST NAME - OWNER,TITLE - OWNER,ORGANIZATION NAME - OWNER,DOING BUSINESS AS NAME - OWNER,ADDRESS LINE 1 - OWNER,ADDRESS LINE 2 - OWNER,CITY - OWNER,STATE - OWNER,ZIP CODE - OWNER,PERCENTAGE OWNERSHIP,CREATED FOR ACQUISITION - OWNER,CORPORATION - OWNER,LLC - OWNER,MEDICAL PROVIDER SUPPLIER - OWNER,MANAGEMENT SERVICES COMPANY - OWNER,MEDICAL STAFFING COMPANY - OWNER,HOLDING COMPANY - OWNER,INVESTMENT FIRM - OWNER,FINANCIAL INSTITUTION - OWNER,CONSULTING FIRM - OWNER,FOR PROFIT - OWNER,NON PROFIT - OWNER,PRIVATE EQUITY COMPANY - OWNER,REIT - OWNER,CHAIN HOME OFFICE - OWNER,TRUST OR TRUSTEE - OWNER,OTHER TYPE - OWNER,OTHER TYPE TEXT - OWNER,PARENT COMPANY - OWNER,OWNED BY ANOTHER ORG OR IND - OWNER
O20020801000000,6103733167,WINDSOR POINT INC.,0143493197,O,72,ADP OF THE SNF,1998-03-28,,,,,"WINDSOR POINT PHARMACY, INC.",WINDSOR POINT PHARMACY  INC,581 GUY RD,STE 102,CLAYTON,NC,275205122,,,Y,N,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20020801000000,6103733167,WINDSOR POINT INC.,1355827130,O,72,ADP OF THE SNF,2012-12-22,,,,,SHERRILL INVESTMENT HOLDINGS LLC,,205 FLORIDA AVE,,CAROLINA BEACH,NC,284285804,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20020801000000,6103733167,WINDSOR POINT INC.,2163339722,O,72,ADP OF THE SNF,2011-07-01,,,,,LEGACY HEALTHCARE SERVICES INC,LEGACY REHABILITATION SERVICES INC,110 HORIZON DR,STE 310,RALEIGH,NC,276154926,,,Y,N,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20020801000000,6103733167,WINDSOR POINT INC.,4183100969,O,72,ADP OF THE SNF,2010-01-01,,,,,SETH A WARD CPA PLLC,,PO BOX 1015,,MOREHEAD CITY,NC,285571015,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20020801000000,6103733167,WINDSOR POINT INC.,4688150451,O,36,5% OR GREATER MORTGAGE INTEREST,1995-07-07,,,,,STAN JOHNSON AND ASSOCIATE LLC,,1221 BROAD ST,,FUQUAY VARINA,NC,275263602,100,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,N,Y
O20020801000000,6103733167,WINDSOR POINT INC.,4688150451,O,37,5% OR GREATER SECURITY INTEREST,1995-07-07,,,,,STAN JOHNSON AND ASSOCIATE LLC,,1221 BROAD ST,,FUQUAY VARINA,NC,275263602,100,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,N,Y
O20020801000000,6103733167,WINDSOR POINT INC.,4688150451,O,72,ADP OF THE SNF,1995-07-07,,,,,STAN JOHNSON AND ASSOCIATE LLC,,1221 BROAD ST,,FUQUAY VARINA,NC,275263602,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20020801000000,6103733167,WINDSOR POINT INC.,6002169539,O,72,ADP OF THE SNF,1998-03-28,,,,,EVENTUS WHOLEHEALTH PLLC,,6330 QUADRANGLE DR,STE 500,CHAPEL HILL,NC,275178281,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20020801000000,6103733167,WINDSOR POINT INC.,6103302989,O,72,ADP OF THE SNF,2012-12-22,,,,,GREENBRIER LLC,,PO BOX 847,,CLARKTON,NC,284330847,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20020801000000,6103733167,WINDSOR POINT INC.,9739222480,O,72,ADP OF THE SNF,2006-02-01,,,,,NUTRITION PLUS OF GREENVILLE INC,,PO BOX 383,,GREENVILLE,NC,278350383,,,Y,N,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20020913000002,8820905748,"LAKE PRINCE CENTER, INC.",5698684215,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,2019-09-13,,,,,EVERYAGE,ABERNETHY LAURELS,100 LEONARD AVE,,NEWTON,NC,286589649,,N,N,N,N,N,N,N,N,N,N,N,Y,,,Y,,N,,Y,N
O20020913000002,8820905748,"LAKE PRINCE CENTER, INC.",5698684215,O,37,5% OR GREATER SECURITY INTEREST,2019-09-13,,,,,EVERYAGE,ABERNETHY LAURELS,100 LEONARD AVE,,NEWTON,NC,286589649,,N,N,N,N,N,N,N,N,N,N,N,Y,,,Y,,N,,Y,N
O20020913000002,8820905748,"LAKE PRINCE CENTER, INC.",5698684215,O,43,OPERATIONAL/MANAGERIAL CONTROL,2019-09-13,,,,,EVERYAGE,ABERNETHY LAURELS,100 LEONARD AVE,,NEWTON,NC,286589649,,,N,N,N,N,N,N,N,N,N,N,Y,,,Y,,N,,,
O20020913000002,8820905748,"LAKE PRINCE CENTER, INC.",5698684215,O,72,ADP OF THE SNF,2025-12-15,,,,,EVERYAGE,ABERNETHY LAURELS,100 LEONARD AVE,,NEWTON,NC,286589649,,,N,N,N,N,N,N,N,N,N,N,Y,,,Y,,N,,,
O20030220000030,7416866900,MRC TOWNCREEK,7012404734,O,72,ADP OF THE SNF,2025-08-30,,,,,,,2400 YORKMONT RD,,CHARLOTTE,NC,282174511,,,Y,N,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20030307000004,9133038581,BAPTIST RETIREMENT HOMES OF NORTH CAROLINA INCORPORATED,9133038581,O,43,OPERATIONAL/MANAGERIAL CONTROL,2002-03-11,,,,,BAPTIST RETIREMENT HOMES OF NORTH CAROLINA INCORPORATED,BROOKRIDGE RETIREMENT COMMUNITY,PO BOX 11024,,WINSTON SALEM,NC,271161024,,,Y,N,N,N,N,N,N,N,N,N,Y,,,Y,,N,,,
O20030314000018,9436068772,BETHESDA LONG TERM CARE INC,4587157151,O,72,ADP OF THE SNF,2025-07-10,,,,,,,100 N TRYON ST,,CHARLOTTE,NC,282024000,,,Y,N,N,N,N,N,N,Y,N,Y,N,,,,,N,,,
O20030317000013,5698684835,"CLAPP'S CONVALESCENT NURSING HOME, INC.",5193208833,O,72,ADP OF THE SNF,2023-08-31,,,,,,,3108 SQUIRREL DEN RD,,ASHEBORO,NC,272050412,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20030317000025,1850200098,"THE UNITED METHODIST RETIREMENT HOMES, INCORPORATED",1850200098,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,2011-07-13,,,,,"THE UNITED METHODIST RETIREMENT HOMES, INCORPORATED",CYPRESS GLEN RETIREMENT COMMUNITY,2600 CROASDAILE FARM PKWY,,DURHAM,NC,277051331,100,N,Y,N,N,N,N,N,N,N,N,N,Y,,,,,N,,N,N
O20030317000025,1850200098,"THE UNITED METHODIST RETIREMENT HOMES, INCORPORATED",9133208028,O,37,5% OR GREATER SECURITY INTEREST,2014-09-01,,,,,US BANK NATIONAL ASSOCIATION,,5540 CENTERVIEW DR 200,,RALEIGH,NC,276063386,0,N,Y,N,N,N,N,N,N,Y,N,Y,N,,,,,Y,MASTER TRUSTEE,N,N
O20030329000001,6507775640,WRMC HOSPITAL OPERATING CORPORATION,1850805219,O,72,ADP OF THE SNF,2017-07-01,,,,,,,PO BOX 218,832 MAIN STREET,NORTH WILKESBORO,NC,286594214,,,N,N,N,N,N,N,N,N,N,N,N,,,,,Y,"TOWN, UNIT OF LOCAL GOVERNMENT",,
O20030329000001,6507775640,WRMC HOSPITAL OPERATING CORPORATION,2769392232,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,2017-07-01,,,,,WAKE FOREST UNIVERSITY,AMOS COTTAGE REHABILITATION HOSPITAL,1834 WAKE FOREST RD,,WINSTON SALEM,NC,271096000,40,N,Y,N,N,N,N,N,N,N,N,N,Y,,,,,N,,N,N
O20030329000001,6507775640,WRMC HOSPITAL OPERATING CORPORATION,3375799802,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,2017-07-01,,,,,WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER,,MEDICAL CENTER BLVD,,WINSTON SALEM,NC,271570001,100,N,Y,N,N,N,N,N,N,N,N,N,Y,,,,,N,,N,Y
O20030329000001,6507775640,WRMC HOSPITAL OPERATING CORPORATION,3375799802,O,43,OPERATIONAL/MANAGERIAL CONTROL,2017-07-01,,,,,WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER,,MEDICAL CENTER BLVD,,WINSTON SALEM,NC,271570001,50,,Y,N,N,N,N,N,N,N,N,N,Y,,,,,N,,,
O20030329000001,6507775640,WRMC HOSPITAL OPERATING CORPORATION,3375799802,O,71,TRUSTEE OF THE SNF,2017-07-01,,,,,WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER,,MEDICAL CENTER BLVD,,WINSTON SALEM,NC,271570001,,,Y,N,N,N,N,N,N,N,N,N,Y,,,,,N,,,
O20030329000001,6507775640,WRMC HOSPITAL OPERATING CORPORATION,6002725272,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,2017-07-01,,,,,NORTH CAROLINA BAPTIST HOSPITAL,COMPREHENSIVE CANCER CENTER PHARMACY,MEDICAL CENTER BLVD,,WINSTON SALEM,NC,271570001,40,N,Y,N,N,N,N,N,N,N,N,N,Y,,,,,N,,N,N
O20030329000001,6507775640,WRMC HOSPITAL OPERATING CORPORATION,7911327374,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,2020-10-09,,,,,ATRIUM HEALTH INC,,1000 BLYTHE BLVD,,CHARLOTTE,NC,282035812,20,N,Y,N,N,N,N,N,N,N,N,N,Y,,,,,N,,N,N
O20030329000001,6507775640,WRMC HOSPITAL OPERATING CORPORATION,7911327374,O,43,OPERATIONAL/MANAGERIAL CONTROL,2020-10-09,,,,,ATRIUM HEALTH INC,,1000 BLYTHE BLVD,,CHARLOTTE,NC,282035812,50,,Y,N,N,N,N,N,N,N,N,N,Y,,,,,N,,,
O20030329000001,6507775640,WRMC HOSPITAL OPERATING CORPORATION,7911327374,O,71,TRUSTEE OF THE SNF,2020-10-09,,,,,ATRIUM HEALTH INC,,1000 BLYTHE BLVD,,CHARLOTTE,NC,282035812,,,Y,N,N,N,N,N,N,N,N,N,Y,,,,,N,,,
O20030329000001,6507775640,WRMC HOSPITAL OPERATING CORPORATION,7911376843,O,43,OPERATIONAL/MANAGERIAL CONTROL,2022-12-01,,,,,ADVOCATE HEALTH INC,,1000 BLYTHE BLVD,,CHARLOTTE,NC,282035812,,,Y,N,N,N,N,N,N,N,N,N,Y,,,,,N,,,
O20030329000001,6507775640,WRMC HOSPITAL OPERATING CORPORATION,7911376843,O,71,TRUSTEE OF THE SNF,2022-12-02,,,,,ADVOCATE HEALTH INC,,1000 BLYTHE BLVD,,CHARLOTTE,NC,282035812,,,Y,N,N,N,N,N,N,N,N,N,Y,,,,,N,,,
O20030403000019,4981513082,ARCHDALE NURSING CENTER INC,0143483883,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,2005-03-03,,,,,HARVEY LINN WILFONG TRUST U/W FBO TRUDY WILFONG,,PO BOX 2428,,HICKORY,NC,28603,,N,N,N,N,N,N,N,N,N,N,N,N,,,,,Y,TRUST,,
O20030403000019,4981513082,ARCHDALE NURSING CENTER INC,9537078647,O,43,OPERATIONAL/MANAGERIAL CONTROL,2001-08-01,,,,,"CANYON MANAGEMENT CONSULTANTS, INC",,4615 RANDOLPH CHURCH,,LIBERTY,NC,272988108,100,,N,N,N,N,N,N,N,N,N,Y,N,,,,,N,,,
O20030403000019,4981513082,ARCHDALE NURSING CENTER INC,9537078647,O,44,OTHER,2001-08-01,,,,,"CANYON MANAGEMENT CONSULTANTS, INC",,4615 RANDOLPH CHURCH,,LIBERTY,NC,272988108,,N,N,N,N,N,N,N,N,N,N,Y,N,,,,,N,,,
O20030404000013,7113836230,"PRESBYTERIAN HOMES, INC",7113836230,O,43,OPERATIONAL/MANAGERIAL CONTROL,2003-02-01,,,,,"PRESBYTERIAN HOMES, INC",SCOTIA VILLAGE,2109 SANDY RIDGE RD,,COLFAX,NC,272359608,100,,N,N,N,N,N,N,N,N,N,N,Y,,,,,N,,,
O20030414000004,4688583693,"LITCHFIELD RETIREMENT, LLC",6608393921,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,2021-01-01,,,,,"BRENDA U. THOMPSON 2020 IRREVOCABLE TRUST DATED DECEMBER 30, 2020",BRENDA U. THOMPSON TRUST FBO JOSHUA THOMPSON,8393 PROVIDENCE RD,,CHARLOTTE,NC,282779753,25,N,N,N,N,N,N,N,N,N,N,N,N,,,,Y,N,,N,N
O20030414000004,4688583693,"LITCHFIELD RETIREMENT, LLC",6800801002,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,2005-12-06,,,,,SENIOR LIVING COMMUITIES LLC,,3530 TORINGDON WAY,STE 204,CHARLOTTE,NC,282773436,100,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,Y,Y
