rpt_rec_num,Provider CCN,Facility Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Fiscal Year Begin Date,Fiscal Year End Date,Type of Control,Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days Other,Total Days Total,Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges Title Other,Total Discharges Total,SNF Average Length of Stay Title V,SNF Average Length of Stay Title XVIII,SNF Average Length of Stay Title XIX,SNF Average Length of Stay Total,SNF Admissions Title V,SNF Admissions Title XVIII,SNF Admissions Title XIX,SNF Admissions Other,SNF Admissions Total,SNF Days Title V,SNF Days Title XVIII,SNF Days Title XIX,SNF Days Other,SNF Days Total,SNF Number of Beds,SNF Bed Days Available,SNF Discharges Title V,SNF Discharges Title XVIII,SNF Discharges Title XIX,SNF Discharges Title Other,SNF Discharges Total,NF Number of Beds,NF Bed Days Available,NF Days Title V,NF Days Title XIX,NF Days Other,NF Days Total,NF Discharges Title V,NF Discharges Title XIX,NF Discharges Title Other,NF Discharges Total,NF Average Length of Stay Title V,NF Average Length of Stay Title XIX,NF Average Length of Stay Total,NF Admissions Title V,NF Admissions Title XIX,NF Admissions Other,NF Admissions Total,Total RUG Days,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Total Charges,Total Costs,Wage-related Costs (core),Total Salaries (adjusted),Contract Labor,Cash on hand and in banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for uncollectible notes and accounts receivable,Inventory,Prepaid expenses,Other current assets,Total Current Assets,Land,Land improvements,Buildings,Leasehold improvements,Fixed equipment,Major movable equipment,Minor equipment depreciable,Total fixed Assets,Investments,Other Assets,Total other Assets,Total Assets,Accounts payable,"Salaries, wages, and fees payable",Payroll taxes payable,Notes and Loans Payable (short term),Deferred income,Other current liabilities,Total current liabilities,Mortgage payable,Notes Payable,Unsecured Loans,Other long term liabilities,Total long term liabilities,Total liabilities,General fund balance,Total fund balances,Total Liabilities and fund balances,Total General Inpatient Care Services Revenue,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Less Contractual Allowance and discounts on patients' accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from service to patients,Total Other Income,Total Income,Net Income,Inpatient PPS Amount,Nursing and Allied Health Education Activities,Allowable Bad Debts
1364611,345066,GOLDEN AGE OF LEXINGTON,4748 OLD LEXINGTON ROAD,LEXINGTON,NC,27295-7827,DAVIDSON,49180,U,2022-10-01,2022-11-30,4,,365,2668,2100,5133,100,12100,,4,5,27,36,,91.25,533.6,142.58,,7,1,23,31,,365,2668,2100,5133,100,12100,,4,5,27,36,,,,,,,,,,,,,,,,,,,606968,1267746,570952,278828,203171,606968,,2224773,,,1493526,,,99153,,4234112,250000,20683,4934403,,,1126088,,3104080,,,,7338192,345539,152290,11505,,,13552,522886,,3105362,,,3105362,3628248,3709944,3709944,7338192,1855390,1991556,,1991556,,1991556,1874714,116842,2164,119006,119006,223842,,6419
1364613,345140,BRIGHTMOOR NURSING CENTER,610 WEST FISHER STREET,SALISBURY,NC,28144,ROWAN,16740,U,2022-10-01,2022-11-30,4,,54,1372,164,1590,60,3660,,1,6,,7,,54,228.67,224.29,,1,1,2,4,,54,1372,144,1570,58,3538,,1,6,,7,,,,,,,,,,,,,,,,,,,260800,431828,61929,26321,50397,260800,,245758,,,298030,,,,,543788,116000,,1913564,,,663933,,267062,,23051,26504,837354,1324832,74126,17107,,,,1416065,497798,,,3955980,4453778,5869843,-5032489,-5032489,837354,490501,499812,,499812,,499812,692628,-192816,,-192816,-192816,32590,,
1364742,345223,VALLEY HILL HEALTH AND REHAB,1510 HEBRON ROAD,HENDERSONVILLE,NC,28739,HENDERSON,11700,U,2022-11-01,2022-12-31,4,,500,307,3416,4223,130,7930,,8,11,4,23,,62.5,27.91,183.61,,24,24,17,65,,500,307,3416,4223,130,7930,,8,11,4,23,,,,,,,,,,,,,,,,,,,455926,1004404,211149,98546,40536,455926,526812,70089,,,1331300,960,,12509,,1412938,,,,,,41228,,39905,,15580,15580,1468423,741810,51196,4603,,,93697,891306,,,,,564322,1455628,12795,12795,1468423,867366,1081293,,1081293,-93900,1175193,1460330,-285137,297932,12795,12795,251408,,
1370214,345163,GLENBRIDGE HEALTH AND REHABILITATION,211 MILTON BROWN HEIRS ROAD,BOONE,NC,28607,WATAUGA,99934,R,2022-12-01,2023-06-30,4,,2349,7310,6529,16188,134,28274,,49,4,,53,,47.94,1827.5,305.43,,7,,43,50,,2349,7310,6529,16188,134,28274,,49,4,,53,,,,,,,,,,,,,,,,,,,1926077,3670476,850267,575090,268434,1926077,704563,604191,,,949910,63389,,87175,,1890839,,,7669,18990,,68963,,85146,,155020,155020,2131005,508083,297530,3435,,,757603,2920820,,115246,,,115246,3036066,-905061,-905061,2131005,4694626,5550347,,5550347,-17442,5567789,5596553,-28764,-1303,-30067,-30067,1371087,,18395
1372132,345542,THE FOREST AT DUKE  INC.,2701 PICKETT ROAD,DURHAM,NC,27705,DURHAM,20500,U,2022-10-01,2023-09-30,2,,590,,21043,21633,90,32850,,16,,40,56,,36.88,,355.22,,17,,16,33,,590,,13974,14564,58,21170,,16,,25,41,,,,,,,,,,,,,,,,,,,10750821,24067321,174021,197796,2237960,10750821,1274024,16755907,,,403675,,8082,78720,,17649250,6111141,11959996,86613034,,,33868705,,94525871,33201722,1049549,34251271,146426392,2035170,420481,6202,,,38411,2500264,,77942116,,53976615,131918731,134418995,12007397,12007397,146426392,4418530,27040756,281955,27322711,172254,27150457,34818142,-7667685,4964201,-2703484,-2703484,293353,,
1372336,345512,CYPRESS GLEN RETIREMENT COMMUNITY,100 HICKORY STREET,GREENVILLE,NC,27858,PITT,24780,U,2022-10-01,2023-09-30,1,,915,,22427,23342,72,26280,,31,,44,75,,29.52,,172.43,,35,,23,58,,915,,8396,9311,30,10950,,31,,23,54,,,,,,,,,,,,,,,,,,,8230100,10642671,709105,465257,1373998,8230100,323746,6210481,,,5662387,183982,231303,1527604,,24379995,6717324,25301200,292101500,,,24807955,,222458448,107282907,11911956,119448008,366286451,4450242,2187039,70462,,95310583,1870938,103889264,,150680275,,,150680275,254569539,111716912,111716912,366286451,7855646,19535099,,19535099,543254,18991845,18872771,119074,4097642,4216716,4216716,501883,,
1372526,345180,WESLEY PINES RETIREMENT HOME,1000 WESLEY PINES ROAD,LUMBERTON,NC,28358,ROBESON,99934,R,2022-10-01,2023-09-30,1,,986,12225,19475,32686,104,37960,,17,21,87,125,,58,582.14,200,,31,16,60,107,,986,12225,8189,21400,62,22630,,17,21,69,107,,,,,,,,,,,,,,,,,,,4924253,4875181,1389882,843852,843374,4924253,617142,6210481,,,5662387,183982,231303,1527604,,24379995,6717324,25301200,292101500,,,24807955,,222458448,107282907,11911956,119448008,366286451,4450242,2187039,70462,,95310583,1870938,103889264,,150680275,,,150680275,254569539,111716912,111716912,366286451,8625147,11148455,,11148455,976100,10172355,9799434,372921,469124,842045,842045,562117,,15361
1372907,345015,CLAPPS CONVALESCENT NURSING HOME,500 MOUNTAIN TOP DRIVE,ASHEBORO,NC,27203,RANDOLPH,24660,U,2022-10-01,2023-09-30,4,,2497,19653,10299,32449,96,35040,,92,32,267,391,,27.14,614.16,82.99,,122,32,244,398,,2497,19653,10299,32449,96,35040,,92,32,267,391,,,,,,,,,,,,,,,,,,,5054597,5167262,1484565,1204217,1350744,5054597,88008,883275,,,852141,,,,,1740141,,99999,584576,,1854838,,,588793,,,,2328934,169306,410790,16025,,,,596121,,,,,,596121,1732813,1732813,2328934,11367704,12859019,,12859019,1362507,11496512,10221859,1274653,244473,1519126,1519126,1403113,,5755
1372908,345024,CLAPPS NURSING CENTER  INC,5229 APPOMATTOX ROAD,PLEASANT GARDEN,NC,27313,GUILFORD,24660,U,2022-10-01,2023-09-30,4,,1711,19498,14219,35428,118,43070,,63,13,226,302,,27.16,1499.85,117.31,,87,17,207,311,,1711,19498,14219,35428,118,43070,,63,13,226,302,,,,,,,,,,,,,,,,,,,5550198,5722747,1298514,1228837,1266807,5550198,17865,655212,,,833994,,,,,1489206,251710,148792,1262341,,1175502,,,827229,,,,2316435,134956,297578,1886,,,,434420,345069,,,,345069,779489,1536946,1536946,2316435,11914151,13216465,,13216465,797510,12418955,11272945,1146010,228975,1374985,1374985,995130,,1200
1372912,345413,FLESHERS FAIRVIEW HEALTH CARE CTR,3016 CANE CREEK ROAD,FAIRVIEW,NC,28730,BUNCOMBE,11700,U,2022-10-01,2023-09-30,4,,655,14216,5765,20636,120,43800,,5,26,30,61,,131,546.77,340.29,,14,12,23,49,,655,14216,1463,16334,106,38690,,5,26,17,48,,,,,,,,,,,,,,,,,,,3234336,3837527,749264,539076,672493,3234336,205989,1618203,,,488746,,24742,,,2136532,,,289652,23135,,800685,,414133,,,,2550665,70385,214488,297395,,3718662,16870,4317800,,,,-557899,-557899,3759901,-1209236,-1209236,2550665,5075967,5839145,,5839145,-1000946,6840091,7071863,-231772,23831,-207941,-207941,358816,,27950
1373101,345322,THE LAURELS OF HENDERSONVILLE,290 CLEAR CREEK ROAD,HENDERSONVILLE,NC,28792,HENDERSON,11700,U,2022-10-01,2023-09-30,4,,3251,22543,14802,40596,120,43800,,95,34,208,337,,34.22,663.03,114.07,,105,34,152,291,,3251,22543,8312,34106,100,36500,,95,34,170,299,,,,,,,,,,,,,,,,,,,5269943,6444246,3145126,1545718,1440947,5269943,36000,-46902,,,1598588,391077,,79077,-62057,1143523,,,,412996,167063,,,263283,,204191,204191,1610997,502266,153261,191947,,,1663843,-21223171,,,,,,-21223171,22834168,22834168,1610997,13524182,16886041,,16886041,2726788,14159253,11714189,2445064,563102,3008166,3008166,1796181,,22426
1373237,345127,WHITE OAK MANOR - TRYON,70 OAK STREET,TRYON,NC,28782,POLK,99934,R,2022-10-01,2023-09-30,4,,1921,12281,5996,20198,70,25550,,39,15,53,107,,49.26,818.73,188.77,,57,6,42,105,,1921,12281,5996,20198,70,25550,,39,15,53,107,,,,,,,,,,,,,,,,,,,3910916,2751618,901289,614490,788641,3910916,,101099,,,322994,52555,23975,,-805,394708,,,,,,1482469,,232488,,819,819,628015,119446,185915,,,,-145230,160131,,,,,,160131,467884,467884,628015,6255520,7170685,,7170685,679176,6491509,6662534,-171025,322220,151195,151195,1067095,,11531
1373238,345171,WHITE OAK MANOR - SHELBY,401 N MORGAN STREET,SHELBY,NC,28151-1709,CLEVELAND,99934,R,2022-10-01,2023-09-30,4,,3024,25109,10808,38941,141,51465,,111,61,160,332,,27.24,411.62,117.29,,130,31,148,309,,3024,25109,10808,38941,141,51465,,111,61,160,332,,,,,,,,,,,,,,,,,,,7050625,5069876,1739373,1063431,1070344,7050625,,100893,,,1191160,26325,43103,,-628,1383632,,,,,,2241724,,425500,,-4628158,-4628158,-2819026,119690,179074,,,,174590,473354,,,,,,473354,-3292380,-3292380,-2819026,12547344,14330282,,14330282,1514808,12815474,12120501,694973,,694973,694973,1637770,,22562
1373239,345363,COMPASS HEALTHCARE & REHAB HAWFIELDS,2502 SOUTH NC 119,MEBANE,NC,27302,ALAMANCE,15500,U,2022-10-01,2023-09-30,4,,1424,14027,14636,30087,117,42705,,41,39,132,212,,34.73,359.67,141.92,,55,29,207,291,,1424,14027,14636,30087,117,42705,,41,39,132,212,,,,,,,,,,,,,,,,,,,4049929,5875026,1150869,1246218,507475,4049929,316684,1312022,,,739574,12770,,104629,,2163152,,,,,,344607,,247071,,172460,172460,2582683,479292,100911,173558,,,23440,777201,,,,,,777201,1805482,1805482,2582683,8667678,9818547,,9818547,-338636,10157183,9924955,232228,26148,258376,258376,874628,,13846
1373241,345530,PENN NURSING CENTER,618-A S. MAIN STREET,REIDSVILLE,NC,27320,ROCKINGHAM,24660,U,2022-10-01,2023-09-30,2,,1104,17445,8626,27175,92,33580,,41,46,134,221,,26.93,379.24,119.11,,172,31,16,219,,1104,17445,6465,25014,82,29930,,41,46,123,210,,,,,,,,,,,,,,,,,,,4252220,4387020,1943054,837138,1118966,4252220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1616847,-1616847,-1616847,7094143,9192223,,9192223,786258,8405965,8639240,-233275,42849,-190426,-190426,616445,,27346
1373358,345550,WHITE OAK MANOR - WAXHAW,700 HOWIR MINE ROAD,WAXHAW,NC,28173-9715,UNION,16740,U,2022-10-01,2023-09-30,4,,4801,15453,13221,33475,100,36500,,173,38,270,481,,27.75,406.66,69.59,,212,13,251,476,,4801,15453,13221,33475,100,36500,,173,38,270,481,,,,,,,,,,,,,,,,,,,5453766,6091216,2333582,1603898,977916,5453766,,100996,,,859126,24314,30289,,-3158,1086558,,,,343530,,2449529,,529803,,-3251332,-3251332,-1634971,279878,249804,,,,72955,602637,,,,,,602637,-2237608,-2237608,-1634971,12430677,14852265,,14852265,2077644,12774621,11544982,1229639,-6908,1222731,1222731,2955750,,21219
1373507,345196,MOUNTAIN VISTA HEALTH PARK,106 MOUNTAIN VISTA HEALTH PARK,DENTON,NC,27239,DAVIDSON,49180,U,2022-10-01,2023-09-30,2,,949,15246,17681,33876,120,43800,,29,25,109,163,,32.72,609.84,154.7,,34,17,69,120,,949,15246,3761,19956,60,21900,,29,25,75,129,,,,,,,,,,,,,,,,,,,4555539,3831799,1582861,825093,786468,4555539,532100,2973112,6890989,,712305,55088,27672,18522,58263,10648416,27158,513217,5157652,,1195503,,,2787346,,1579,1579,13437341,96009,605238,4837,,,,706084,,,,,,706084,12731257,12731257,13437341,7887452,9479755,,9479755,822285,8657470,8387338,270132,865841,1135973,1135973,544420,,12934
1373585,345160,CORNELIA NIXON DAVIS  INC.,1101 PORTERS NECK ROAD,WILMINGTON,NC,28411,NEW HANOVER,48900,U,2022-10-01,2023-09-30,2,,5765,12832,21066,39663,179,65335,,206,29,207,442,,27.99,442.48,89.74,,252,29,193,474,,5765,12832,21066,39663,179,65335,,206,29,207,442,,,,,,,,,,,,,,,,,,,10912828,23181515,2231068,1730233,2138725,10912828,3500257,5693614,132062,,3087802,517378,165436,1150178,1750383,11916221,6418678,1531557,85848629,,,5079478,,139781991,,2549130,2549130,154247342,2275508,943802,18577,2287831,197456,711251,6434425,,92126440,,14042,92140482,98574907,55672435,55672435,154247342,13916584,16196820,,16196820,1247562,14949258,34094343,-19145085,17467261,-1677824,-1677824,3069586,,
