cms_certification_number_ccn,provider_name,provider_address,citytown,state,zip_code,telephone_number,provider_ssa_county_code,countyparish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,longstay_qm_rating,longstay_qm_rating_footnote,shortstay_qm_rating,shortstay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_t_4a14,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_casemix_index,nursing_casemix_index_ratio,casemix_nurse_aide_staffing_hours_per_resident_per_day,casemix_lpn_staffing_hours_per_resident_per_day,casemix_rn_staffing_hours_per_resident_per_day,casemix_total_nurse_staffing_hours_per_resident_per_day,casemix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_23_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_23_number_of_complaint_health_deficiencies,rating_cycle_23_health_deficiency_score,rating_cycle_23_number_of_health_revisits,rating_cycle_23_health_revisit_score,rating_cycle_23_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
345000,Autumn Care Of Biscoe,401 Lambert Road,Biscoe,NC,27209,9104282117,610,Montgomery,N,For profit - Limited Liability company,141,96.1,,Medicare and Medicaid,N,AUTUMN CARE OF BISCOE LLC,1980-01-01,SABER HEALTHCARE GROUP,461,126,3.0,2.7,2.3,4.0,N,,N,N,N,Resident,Yes,3,,3,,4,,4,,4,,2,,,,1.90435,0.82934,0.34986,1.17920,3.08355,2.70969,0.23787,0.03382,30.9,,11.1,,0,,1.35097,0.97074,2.26371,0.83514,0.65944,3.75829,3.33411,1.94806,0.84837,0.35789,3.15433,2.77188,2025-03-13,4,4,0,20,1,0,20,2024-03-20,9,9,2,72,1,0,72,33.000,,1,15350.00,0,1,"401 Lambert Road,Biscoe,NC,27209",35.3659,-79.79,,2026-04-01
345001,Hillcrest Convalescent Center,1417 W Pettigrew Street,Durham,NC,27705,9192867705,310,Durham,Y,For profit - Corporation,86,74.6,,Medicare and Medicaid,N,"HILLCREST CONVALESCENT CENTER, INC.",1967-01-01,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,4,,5,,,,3.57343,0.98565,1.12537,2.11102,5.68444,5.19258,1.15257,0.40041,37.4,,15.0,,0,,1.31510,0.94497,2.20361,0.81297,0.64193,3.65851,3.24559,3.75514,1.03577,1.18260,5.97351,5.45664,2025-02-21,0,0,0,0,0,0,0,2023-12-14,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"1417 W Pettigrew Street,Durham,NC,27705",36.0047,-78.918,,2026-04-01
345002,Cypress Pointe Rehabilitation Center,2006 South 16th Street,Wilmington,NC,28401,9107636271,640,New Hanover,Y,For profit - Partnership,90,77.6,,Medicare and Medicaid,N,CYPRESS POINTE REHABILITATION CENTER LLC,1976-06-01,SOVEREIGN HEALTHCARE HOLDINGS,482,43,3.7,3.2,3.0,4.5,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,5,,4,,,,2.32627,0.56051,0.80897,1.36948,3.69576,3.63894,0.49913,0.27297,47.6,,30.8,,0,,1.32382,0.95123,2.21822,0.81836,0.64619,3.68277,3.26711,2.42846,0.58514,0.84451,3.85811,3.79880,2025-03-20,1,1,0,4,1,0,4,2024-02-22,1,1,0,8,1,0,8,5.000,,0,0.00,0,0,"2006 South 16th Street,Wilmington,NC,28401",34.21,-77.926,,2026-04-01
345003,Silas Creek Rehabilitation Center,3350 Silas Creek Parkway,Winston Salem,NC,27103,3367650550,330,Forsyth,Y,For profit - Limited Liability company,90,75.6,,Medicare and Medicaid,N,SILAS CREEK REHABILITATION CENTER LLC,1976-06-01,SOVEREIGN HEALTHCARE HOLDINGS,482,43,3.7,3.2,3.0,4.5,N,,N,N,N,Resident,Yes,5,,5,,3,,2,,4,,3,,,,2.11821,0.84433,0.70981,1.55414,3.67235,3.08414,0.46113,0.10526,54.1,,58.3,,0,,1.28476,0.92317,2.15278,0.79421,0.62712,3.57412,3.17072,2.27848,0.90822,0.76351,3.95021,3.31750,2025-05-02,0,0,0,0,0,0,0,2024-03-07,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"3350 Silas Creek Parkway,Winston Salem,NC,27103",36.0751,-80.299,,2026-04-01
345004,PERSON MEMORIAL HOSPITAL,615 RIDGE ROAD,ROXBORO,NC,27573,3365035707,720,Person,Y,For profit - Limited Liability company,56,45.0,,Medicare and Medicaid,Y,DLP PERSON MEMORIAL HOSPITAL LLC,1967-01-01,LIFEPOINT HEALTH,787,8,4.0,4.1,3.0,3.1,N,,N,N,N,Resident,Yes,1,,2,,2,,1,,3,,1,,,,1.93713,0.62297,0.63475,1.25772,3.19485,2.79869,0.39142,0.00000,100.0,,100.0,,,26,1.35884,0.97640,2.27691,0.84001,0.66328,3.78020,3.35354,1.97011,0.63357,0.64556,3.24924,2.84633,2025-12-17,5,4,1,99,1,0,99,2024-09-19,7,7,4,52,1,0,52,87.250,,10,65099.00,1,11,"615 RIDGE ROAD,ROXBORO,NC,27573",36.407,-78.985,,2026-04-01
345006,Blumenthal Health and Rehabilitation Center,3724 Wireless Drive,Greensboro,NC,27455,8284592977,400,Guilford,Y,For profit - Limited Liability company,134,113.3,,Medicare and Medicaid,N,BLUMENTHAL OPERATOR LLC,1967-01-01,LIFEWORKS REHAB,768,62,2.1,2.1,1.5,4.0,N,SFF Candidate,Y,N,N,Resident,Yes,1,,1,,3,,3,,3,,2,,,,2.35466,0.70640,0.47798,1.18438,3.53904,3.05826,0.32822,0.14188,82.9,,61.1,,1,,1.30664,0.93889,2.18944,0.80774,0.63780,3.63498,3.22471,2.49042,0.74713,0.50554,3.74309,3.23458,2025-09-13,33,28,16,164,2,82,246,2024-11-01,26,12,19,482,1,0,482,305.000,1,4,217768.00,2,6,"3724 Wireless Drive,Greensboro,NC,27455",36.12,-79.825,,2026-04-01
345010,Bear Mountain Health and Rehabilitation,500 Beaverdam Road,Asheville,NC,28804,8282548833,100,Buncombe,Y,For profit - Limited Liability company,77,69.7,,Medicare and Medicaid,N,ASHEVILLE BEAVERDAM NC OPCO LLC,1967-10-01,ASCENT HEALTHCARE MANAGEMENT,799,6,2.3,2.7,2.0,2.0,N,,N,N,N,Resident,Yes,3,,3,,2,,2,,,2,2,,,,2.03616,0.60039,0.42966,1.03005,3.06621,2.59578,0.29204,0.02339,60.0,,55.6,,0,,1.25938,0.90493,2.11025,0.77852,0.61474,3.50351,3.10808,2.23437,0.65883,0.47148,3.36469,2.84846,2025-05-09,8,6,5,32,1,0,32,2024-03-07,8,5,4,64,1,0,64,40.000,,1,11170.00,0,1,"500 Beaverdam Road,Asheville,NC,28804",35.642,-82.529,,2026-04-01
345011,Pine Acres Center for Nursing and Rehabilitation,279 Brian Center Drive,Lexington,NC,27292,3362497521,280,Davidson,Y,For profit - Corporation,106,100.0,,Medicare and Medicaid,N,"BRIAN CENTER DRIVE OPERATING COMPANY, LLC",1976-02-01,ALLIANCE HEALTH GROUP,714,11,1.3,1.5,1.6,1.6,N,,N,N,N,Resident,Yes,1,,1,,2,,3,,2,,1,,,,2.07321,1.06472,0.20833,1.27305,3.34626,3.05528,0.20498,0.00038,52.6,,42.9,,1,,1.41116,1.01399,2.36457,0.87235,0.68882,3.92574,3.48266,2.03034,1.04270,0.20402,3.27706,2.99209,2025-05-22,11,9,4,80,1,0,80,2024-03-28,14,14,8,533,1,0,533,193.250,0,2,122460.00,0,2,"279 Brian Center Drive,Lexington,NC,27292",35.8003,-80.288,,2026-04-01
345013,Peak Resources - Charlotte,3223 Central Avenue,Charlotte,NC,28205,7047491100,590,Mecklenburg,Y,For profit - Corporation,142,119.4,,Medicare and Medicaid,N,"PARK VILLAGE REHAB AND HEALTH, INC.",1968-06-01,"PEAK RESOURCES, INC.",397,9,3.4,3.6,2.4,3.0,N,,N,N,N,Resident,Yes,3,,3,,3,,5,,1,,2,,,,2.07081,1.03442,0.21410,1.24852,3.31933,3.17950,0.11349,0.04762,57.1,,57.1,,0,,1.28723,0.92494,2.15691,0.79574,0.62833,3.58097,3.17680,2.22323,1.11056,0.22986,3.56365,3.41353,2025-06-26,2,2,1,12,1,0,12,2024-03-21,9,9,9,68,1,0,68,26.000,,1,14069.00,0,1,"3223 Central Avenue,Charlotte,NC,28205",35.2167,-80.79,,2026-04-01
345014,Linden Place Center for Nursing and Rehabilitation,1201 Carolina Street,Greensboro,NC,27401,3365225700,400,Guilford,Y,For profit - Corporation,105,89.5,,Medicare and Medicaid,N,"CAROLINA STREET OPERATING COMPANY, LLC",1980-12-01,ALLIANCE HEALTH GROUP,714,11,1.3,1.5,1.6,1.6,N,,N,N,N,Resident,Yes,1,,2,,1,,2,,1,,3,,,,2.01674,0.92743,0.35310,1.28052,3.29726,3.03456,0.21703,0.08063,35.2,,30.8,,2,,1.29622,0.93140,2.17198,0.80130,0.63272,3.60599,3.19900,2.15015,0.98878,0.37646,3.51539,3.23531,2026-01-10,12,12,4,48,1,0,48,2024-09-12,15,3,15,76,1,0,76,55.000,,1,9770.00,0,1,"1201 Carolina Street,Greensboro,NC,27401",36.089,-79.79,,2026-04-01
